case,actuation_pattern,del_x,del_y,del_z,del_qx,del_qy,del_qz,del_qw
6,"(1, 0, 0, 1)",0.002082445,-0.096296966,0.016664982,-0.233957643,-0.098363141,0.014289886,-0.021253765
6,"(1, 0, 0, 1)",-0.000682339,-0.113250717,0.025441885,-0.292840148,-0.109253167,0.023478836,-0.036095142
6,"(1, 0, 0, 1)",-0.006496966,-0.145336196,0.042816877,-0.377105767,-0.113017229,0.031570912,-0.066994369
6,"(1, 0, 0, 1)",-0.041288763,-0.098425999,0.037726402,-0.317060584,0.067317702,0.028846682,-0.063537776
6,"(1, 0, 0, 1)",-0.065681164,-0.033816233,0.027150869,-0.150629575,0.148869343,0.014813275,-0.042369127
6,"(1, 0, 0, 1)",-0.014195368,-0.048881158,0.006635427,-0.132968748,-0.031177044,0.003645987,-0.007196307
6,"(1, 0, 0, 1)",0.067896053,-0.040774718,0.000826716,-0.01729448,-0.196565517,0.000519097,0.004937291
6,"(1, 0, 0, 1)",0.081318706,0.000677377,0.000470161,0.084876684,-0.196251452,0.0032143,0.004257143
6,"(1, 0, 0, 1)",0.032810844,0.024528235,-0.000493169,0.089374034,-0.053459138,-0.004132777,0.001466453
6,"(1, 0, 0, 1)",-0.08348368,0.004541539,0.03106761,-0.012592299,0.213128067,0.01203987,-0.0499143
6,"(1, 0, 0, 1)",-0.055241749,0.003876545,0.020978689,-0.00611906,0.179114319,0.010881454,-0.037897527
6,"(1, 0, 0, 1)",-0.023663837,-0.051935389,0.01847291,-0.223595271,-0.003688984,0.010676831,-0.027290225
6,"(1, 0, 0, 1)",-0.023468547,-0.124225214,0.035638928,-0.322878504,-0.035447754,0.021285028,-0.052178562
6,"(1, 0, 0, 1)",-0.018970497,-0.119929567,0.033935308,-0.332323039,-0.052184545,0.018079639,-0.055577934
6,"(1, 0, 0, 1)",0.009935051,-0.082479551,0.011090278,-0.206570441,-0.095549258,0.007232815,-0.016750634
